"","ID","Country","AQI_Index","Fine_Particles","Coarse_Particles","Ozone","Nitrogen_Dioxide","Sulphur_Dioxide","Carbon_Monoxide","Temp_Celsius","Wind_Kmph","Humidity_Percent","Temp_Fahrenheit","DewPoint_Index","Heat_Index","AQI_Category","Heat_Category","Wind_Category","DewPoint_Category"
"13",13,"Kolkata, India",88,29,30.2,23,19,8.7,420,39,19.5,34,102.2,25.8,35.5,"Moderate","Extreme Caution","Moderate Breeze","Oppresive"
"14",14,"Manama, Bahrain",84,27,0,0,0,0,0,29,43.1,53,84.2,19.6,26.4,"Moderate","Caution","Strong Breeze","Somewhat Muggy"
"15",15,"Santiago, Chile",84,29.9,54,18,34,2.6,778.6,12,2.3,74,53.6,6.8,10.5,"Moderate","Safe","Light Air","Dry"
"16",16,"Jerusalem, Israel",82,9,202,50.7,458,0,0,31,1.6,18,87.8,14.6,28.1,"Moderate","Caution","Calm","Comfortable"
"17",17,"Addis Ababa, Ethiopia",82,25.9,0,0,0,0,0,22,12.7,32,71.6,8.4,19.8,"Moderate","Safe","Gentle Breeze","Dry"
"18",18,"Wuhan, China",82,25.5,41,47.5,7.5,3,700,34,14.1,38,93.2,21.6,30.9,"Moderate","Caution","Gentle Breeze","Muggy"
"19",19,"Tashkent, Uzbekistan",81,25,111,33,44,2.5,233.5,36,13.3,13,96.8,18.6,32.6,"Moderate","Extreme Caution","Gentle Breeze","Somewhat Muggy"
"20",20,"Dubai, United Arab Emirates",81,20,74,0,0,0,0,31,23.1,61,87.8,23.2,28.3,"Moderate","Caution","Moderate Breeze","Muggy"
"21",21,"Medan, Indonesia",80,24.9,0,0,0,0,0,32,12.7,60,89.6,24,29.2,"Moderate","Caution","Gentle Breeze","Muggy"
"22",22,"Istanbul, Turkey",79,22,0,0,0,0,0,14,30.5,74,57.2,8.8,12.4,"Moderate","Safe","Fresh Breeze","Dry"
"23",23,"Doha, Qatar",79,11,0,0,0,0,0,35,38,19,95,18.8,31.7,"Moderate","Caution","Fresh Breeze","Somewhat Muggy"
"24",24,"Karachi, Pakistan",79,22,0,0,0,0,0,29,20.8,72,84.2,23.4,26.5,"Moderate","Caution","Moderate Breeze","Muggy"
"25",25,"Hanoi, Vietnam",76,14,64.1,13,2.9,495,0,33,12.1,54,91.4,23.8,30.1,"Moderate","Caution","Gentle Breeze","Muggy"
"26",26,"Tel Aviv-Yafo, Israel",75,22,66.8,122,99.3,8.7,687,35,4.1,21,95,19.2,31.7,"Moderate","Caution","Light Air","Somewhat Muggy"
"27",27,"Bangkok, Thailand",73,18,59.5,78,53.6,0,0,32,11,63,89.6,24.6,29.3,"Moderate","Caution","Light Breeze","Oppresive"
"28",28,"Dakar, Senegal",71,20,0,0,0,0,0,20,13.8,85,68,17,18.1,"Moderate","Safe","Gentle Breeze","Somewhat Muggy"
"29",29,"Busan, South Korea",71,19.5,28,98,16.9,10.5,343.5,20,19.1,78,68,15.6,18.1,"Moderate","Safe","Moderate Breeze","Somewhat Muggy"
"30",30,"Kampala, Uganda",69,19,0,0,0,0,0,25,13.9,59,77,16.8,22.7,"Moderate","Safe","Gentle Breeze","Somewhat Muggy"
